date,entry_type,meal_type,items,quantities,calories_kcal,protein_g,carbs_g,fat_g,workout_type,duration_min,distance_km,goal_type,goal_value,goal_notes,notes
2025-09-02,meal,dinner,chicken breast; rice; olive oil,150 g; 100 g; 1 tbsp,450,35,45,15,,,,,,,
2025-09-02,meal,snack,mini rice crispies,17 g,68,1,13,1,,,,,,,
2025-09-03,meal,dinner,sweet potatoes; sausage,100 g; 1,320,18,35,12,,,,,,,
2025-09-03,meal,lunch,steak; veggies; sweet potatoes,208 g; 203 g; 162 g,520,42,35,18,,,,,,,
2025-09-03,meal,snack,yogurt; cashews,160 g; 20 g,280,12,25,15,,,,,,,
2025-09-05,meal,pre workout,,,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,pre workout,,,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,breakfast,,,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,lunch,,,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,pre workout,,,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,pre workout,,,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,pre workout,banana; honey,1; 1 tbsp,140,1.3,33.0,0.3,,,,,,,
2025-09-05,meal,pre workout,banana; honey,1; 1 tbsp,140,1.3,33.0,0.3,,,,,,,
2025-09-05,meal,breakfast,eggs; oats; yogurt,3; 60 g; 150 g,569,35.7,53.3,23.7,,,,,,,
2025-09-05,meal,lunch,shrimp; pasta; mango juice,180 g; 129 g; 1 glass,784,59.6,130.1,2.8,,,,,,,
2025-09-05,meal,workout,one the threadmill. 5 min run intervals. push workout,1 hour,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,test,banana,1,116,1.3,27.0,0.3,,,,,,,
2025-09-05,meal,lunch,grilled chicken; fried rice; grapes,58g; 118g; 74g,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,lunch,chicken breast; rice,100g; 50g,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,lunch,chicken breast; rice,100g; 50g,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,lunch,chicken breast; rice,100g; 50g,0,0.0,0.0,0.0,,,,,,,
2025-09-05,meal,lunch,chicken breast; rice,100g; 50g,219,32.4,14.0,3.8,,,,,,,
2025-09-05,meal,dinner,salmon; quinoa; olive oil,150g; 100g; 1 tbsp,574,41.9,22.0,35.4,,,,,,,
2025-09-05,goal,,,,0,0,0,0,,0,0,Weekday Calories,2500,,
2025-09-05,goal,,,,0,0,0,0,,0,0,Weekend Calories,2000,,
2025-09-05,meal,pre-workout,peanut butter,1 tbsp,165,10,20,5,,,,,,,
2025-09-05,meal,breakfast,sausages; chicken; rice; eggs; yogurt; Â½ scoop whey protein; juice box,2; 60g; 70g; 3 boiled; 200g; 1; 1 mango,1155,70,140,35,,,,,,,
2025-09-05,meal,lunch,chicken; rice; grapes,58g; 118g; 74g,495,30,60,15,,,,,,,
